,company_name,experience,location,skills,posted_at
102,"Deepakshi Recruiters
     (More Jobs)",0 - 1 yrs,"Palakkad,  Thiruvananthapuram,  Thrissur,  Coimbatore,  Cuddalore","data entry  ,  typing speed  ,  computer operator  ,  work from home  ,  cce  ,  excutive  ,  non voice  ,  back office  ,  blended process  ,  Backend  ,  Banking  ,  Bank Reconciliation  ,  Accounts Payable","
Work from Home 
		    	"
103,"Deepakshi Recruiters
     (More Jobs)",0 - 1 yrs,"Ahmedabad,  Bengaluru / Bangalore,  Bongaigaon,  Dhubri,  Dibrugarh","Data Entry  ,  Typing Speed  ,  computer operator  ,  Work From Home  ,  Back Office  ,  executive  ,  CCE  ,  Blended Process  ,  Non Voice  ,  Back-office Operations","
Work from Home 
		    	"
104,arimon digilytics pvt ltd,3 - 6 yrs,Gurgaon,"data science  ,  data scientist  ,   Document Extraction",Posted few days ago
105,rackspace technology,1 - 4 yrs,Cairo,"bi  ,  sql  ,  security  ,  data science  ,  data scientist  ,  data visualization  ,  logistic regression  ,  sas  ,  tableau",Posted 5 days ago
106,pegasus knowledge solutions india pvt ltd.,5 - 8 yrs,Bengaluru / Bangalore,"data mining  ,  anova  ,  spss  ,  data science  ,  use cases  ,  data scientist  ,  arima  ,  data analytics  ,  sas  ,  written communication",Posted few days ago
107,aeries technology group  ( sabre industries ),10 - 15 yrs,Mumbai,"visualization  ,  bi  ,  business solutions  ,  sql  ,  data science  ,  data scientist  ,  logistic regression  ,  rdbms  ,  oracle  ,  tableau",Posted few days ago
108,sigmoid analutics,0 - 3 yrs,Bengaluru / Bangalore,"linear regression  ,  sql  ,  it management  ,  data science  ,  use cases  ,  data scientist  ,  logistic regression  ,  client interaction",Posted few days ago
109,PAGO Analytics,0 - 1 yrs,Hyderabad/Secunderabad,"data mining  ,  data warehousing  ,  sql  ,  text analytics  ,  database  ,  data science  ,  data scientist  ,  debugging  ,  logistic regression  ,  cluster analysis  ,  sas  ,  infrastructure",Posted 1 day ago
110,PAGO Analytics,0 - 1 yrs,Hyderabad/Secunderabad,"data mining  ,  data warehousing  ,  sql  ,  text analytics  ,  database  ,  data science  ,  data scientist  ,  debugging  ,  logistic regression  ,  cluster analysis  ,  sas  ,  infrastructure",Posted 2 days ago
111,PAGO Analytics,0 - 1 yrs,Hyderabad/Secunderabad,"data mining  ,  data warehousing  ,  sql  ,  text analytics  ,  database  ,  data science  ,  data scientist  ,  debugging  ,  logistic regression  ,  cluster analysis  ,  sas  ,  infrastructure",Posted 3 days ago
112,PAGO Analytics,0 - 1 yrs,Hyderabad/Secunderabad,"data mining  ,  data warehousing  ,  sql  ,  text analytics  ,  database  ,  data science  ,  data scientist  ,  debugging  ,  logistic regression  ,  cluster analysis  ,  sas  ,  infrastructure",Posted 4 days ago
113,Ophthalmology Otolaryngology Community & Social Medicine,1 - 3 yrs,,"business solutions  ,  linear regression  ,  text analytics  ,  sql  ,  data science  ,  data scientist  ,  logistic regression  ,  data analytics  ,  predictive modeling",Posted few days ago
114,dun and bradstreet india pvt ltd,5 - 9 yrs,,"logistic regression  ,  advanced analytics  ,  data analytics  ,  predictive modeling  ,  data mining  ,  business solutions  ,  linear regression  ,  sql  ,  solution design  ,  data scientist  ,  data analysis  ,  sas  ,  statistical analysis",Posted few days ago
115,WALMART INDIA,4 - 6 yrs,,"manufacturing  ,  ideas  ,  planning  ,  industrial engineering  ,  innovation  ,  data collection  ,  cutting",Posted 3 days ago
116,INMOBI TECHNOLOGY SERVICES PRIVATE LIMITED,10 - 13 yrs,,"artificial intelligence  ,  apache  ,  big data  ,  python  ,  algorithms  ,  cloud computing  ,  san  ,  rest  ,  mobile  ,  machine learning  ,  infrastructure",Posted 2 days ago
117,Epsilon,4 - 7 yrs,Bengaluru / Bangalore,"big data  ,  python  ,  messaging  ,  dash  ,  algorithms  ,  scala  ,  data mining  ,  bi  ,  sql  ,  team player  ,  machine learning",Posted 5 days ago
118,AxionConnect Infosolutions Pvt. Ltd.,5 - 8 yrs,"Varanasi / Banaras,  Mumbai","python  ,  sas  ,  data mining  ,  machine learning",Posted 6 days ago
119,Outsourcebigdata,20 - 23 yrs,Bengaluru / Bangalore,"global delivery  ,  python  ,  data mining  ,  bi  ,  mobile  ,  machine learning  ,  application management  ,  technology consulting  ,  big data",Posted 6 days ago
120,WALMART INDIA,7 - 10 yrs,,"information technology  ,  linear programming  ,  data structures  ,  python  ,  algorithms  ,  conference  ,  scala  ,  git  ,  machine learning",Posted 6 days ago
121,ORMAE LLP,5 - 8 yrs,"Delhi,  Delhi/NCR","algorithms  ,  sql  ,  d3.js  ,  data structures  ,  mongodb  ,  genesys  ,  python  ,  machine learning",Posted few days ago
122,INMOBI TECHNOLOGY SERVICES PRIVATE LIMITED,10 - 13 yrs,"Mumbai,  Delhi,  Delhi/NCR,  Bengaluru / Bangalore","artificial intelligence  ,  apache  ,  big data  ,  python  ,  algorithms  ,  cloud computing  ,  san  ,  rest  ,  mobile  ,  machine learning  ,  infrastructure",Posted few days ago
123,PUBLICIS GROUPE,4 - 7 yrs,Bengaluru / Bangalore,"big data  ,  python  ,  messaging  ,  dash  ,  algorithms  ,  scala  ,  data mining  ,  bi  ,  sql  ,  team player  ,  machine learning",Posted few days ago
124,Epsilon,4 - 7 yrs,Bengaluru / Bangalore,"big data  ,  python  ,  messaging  ,  dash  ,  algorithms  ,  scala  ,  data mining  ,  bi  ,  sql  ,  team player  ,  machine learning",Posted few days ago
125,Careem,1 - 3 yrs,Jordan,"mysql  ,  big data  ,  python  ,  oracle  ,  hive  ,  algorithms  ,  data mining  ,  sql  ,  database  ,  hadoop  ,  problem solving  ,  machine learning  ,  written communication",Posted few days ago
126,Careem,2 - 3 yrs,Cairo,"mysql  ,  big data  ,  python  ,  oracle  ,  hive  ,  algorithms  ,  data mining  ,  sql  ,  database  ,  hadoop  ,  problem solving  ,  machine learning  ,  written communication",Posted few days ago
